Date;Station pressure [kPa];Altitude [m];Sea level pressure [hPa/mBar]
2019-09-12 10:01:33;84.3025;1616.8;851.5
2019-09-12 10:01:33;84.3025;1616.6;851.5
2019-09-12 10:01:31;84.3013;1616.65;851.488
2019-09-12 10:01:31;84.3013;1616.7;851.488
2019-09-12 10:01:29;84.3014;1616.6;851.488
2019-09-12 10:01:29;84.3014;1616.6;851.488
2019-09-12 10:01:28;84.3014;1616.8;851.488
2019-09-12 10:01:28;84.3014;1616.6;851.488
2019-09-12 10:01:17;84.3032;1616.6;851.507
2019-09-12 10:01:17;84.3032;1616.65;851.507
2019-09-12 10:01:17;84.3032;1616.9;851.507
2019-09-12 10:01:17;84.3032;1616.6;851.507
2019-09-12 10:01:17;84.3032;1616.75;851.507
2019-09-12 10:01:17;84.3033;1616.6;851.508
2019-09-12 10:01:17;84.3033;1616.6;851.508
2019-09-12 10:01:16;84.3033;1616.7;851.508
2019-09-12 10:01:16;84.3033;1616.6;851.508
2019-09-12 10:01:14;84.3032;1616.6;851.507
2019-09-12 10:01:13;84.3032;1616.55;851.507
2019-09-12 10:01:13;84.3032;1616.6;851.507
2019-09-12 10:01:13;84.3032;1616.6;851.507
2019-09-12 10:01:13;84.3032;1616.65;851.507
2019-09-12 10:01:12;84.303;1616.85;851.505
2019-09-12 10:01:12;84.303;1616.8;851.505
2019-09-12 10:01:10;84.3026;1616.8;851.501
2019-09-12 10:01:00;84.2981;1616.6;851.455